timestamp,token_id,symbol,activation_strength,usage_count,cluster_stability,cross_modal_strength,stage,associated_tokens
2026-08-22 21:56:37,50,"ph_2_8",0.668822,1,0.2,0,1,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_3_8;ph_4_8;babble_p_9"
2026-08-22 21:56:37,23,"ph_3_3",0.0974328,1,0.2,0,1,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,38,"ph_1_4",0.0710369,1,0.2,0,1,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,52,"ph_4_8",0.481015,1,0.2,0,1,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,21,"ph_1_3",0.918765,1,0.642857,0,2,"ph_0_0;ph_1_0;mama;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,33,"gaga",0.0306001,2,0.642857,0,2,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,50,"ph_2_8",0.668822,1,0.583333,0,2,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,19,"mama",1,1,0.583333,0.256211,2,"ph_0_0;ph_1_0;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,31,"ph_3_2",0.382182,1,0.583333,0,2,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,48,"ph_0_8",0.838884,1,0.583333,0,2,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,17,"ph_1_0",0.298016,1,0.6875,0,2,"ph_0_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
